market_cap;circulating_supply;total_supply;max_supply;binanceSymbole
118154766;23897700.0;50000000.0;50000000.0;PYRUSDT
117730200;961737300000.0;999000000000.0;;WINUSDT
116073024;8932621.0;11265238.0;;MOVRUSDT
115772991;89166667.0;100000000.0;100000000.0;ALICEUSDT
115715219;34011300.0;34011300.0;34011300.0;GNSUSDT
115473611;6500037.16037058;7640664.16070434;10000000.0;AUCTIONUSDT
111349411;125000000.0;1000000000.0;1000000000.0;TNSRUSDT
109044402;64633864.147;66588888.0;;MTLUSDT
108955920;962499997.0;1074999997.0;1600000000.0;ACAUSDT
107979005;1942420283.02707;1942420283.02707;1942420283.02707;STPTUSDT
106307944;998466231.0;998466231.0;;ARDRUSDT
105830804;456517027.3318671;1000000000.0;;WRXUSDT
105602738;655703404.35;995989104.366833;1000000000.0;DODOUSDT
105105816;204348515.727817;1000000000.0;1000000000.0;STGUSDT
102816043;870000000.0;1000000000.0;1000000000.0;ALPHAUSDT
102267855;170152851.23024455;238764261.141417;252301550.0;KNCUSDT
102258957;51157239.2140685;52747802.714256;52747802.714256;GHSTUSDT
100259506;123505558.761127;141157982.856209;;HIFIUSDT
100079514;483146858.576;1000000000.0;1000000000.0;RDNTUSDT
99614112;768744112.1518397;999639842.607997;1000000000.0;REQUSDT
99114835;95609729.2203938;100000000.0;100000000.0;LQTYUSDT
98937306;1224270898.0;1300000000.0;;LOOMUSDT
98318279;11038000.0;100000000.0;100000000.0;CYBERUSDT
97272156;132284519.0;133412905.0;;CTKUSDT
97160662;250000000.0;2000000000.0;2000000000.0;MAVUSDT
96064969;772601881.834866;772686019.526826;1000000000.0;NKNUSDT
94959261;20680192.507487062;30000000.0;30000000.0;ERNUSDT
94808991;549716300.2685891;1000000000.0;1000000000.0;KEEPUSDT
94657954;16521951235.7413;16555000000.0;;XVGUSDT
94452273;49102016.8770411;49102016.8770411;64000000.0;PHBUSDT
92760921;140245398.245133;140245398.245133;140245398.245133;OMGUSDT
92254760;130077917.67839;130077917.67839;130077917.67839;BNTUSDT
90894957;689120147.368031;1000000000.0;1000000000.0;RAREUSDT
88906553;19930669.91236208;21000000.0;21000000.0;BADGERUSDT
88399604;49829110.56634565;99998580.0;100000000.0;RADUSDT
88112750;6981881946.0;10000000000.0;;QKCUSDT
